cnpj,razao_social,nome_fantasia,descricao_situacao_cadastral,data_inicio_atividade,natureza_juridica,porte,municipio,uf,codigo_municipio_ibge,cnae_fiscal,cnae_fiscal_descricao,capital_social,opcao_pelo_mei,opcao_pelo_simples,erro
45336448000119,VERDE - COMERCIO E DISTRIBUICAO DE PRODUTOS DE HIGIENE LTDA,VERDE DISTRIBUIDORA,ATIVA,2022-02-17,Sociedade Empresária Limitada,MICRO EMPRESA,CAMARAGIBE,PE,2603454.0,4649408.0,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",100000.0,False,True,
27619368000199,TOTUS PISOS E AZULEJOS LTDA,TOTUS PISOS E AZULEJOS,BAIXADA,2017-04-28,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,SAO PAULO,SP,3550308.0,4744099.0,Comércio varejista de materiais de construção em geral,93700.0,False,False,
05108702000107,7R7 SOLUCOES EM CONSULTORIA E COMERCIO LTDA,7R7 BUSINESS,ATIVA,2002-05-27,Sociedade Empresária Limitada,MICRO EMPRESA,PELOTAS,RS,4314407.0,4645101.0,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",300000.0,False,False,
41391445000127,EXITO SOLUCOES DE SERVICOS E COMERCIO LTDA,EXITO DISTRIBUIDORA,ATIVA,2021-03-29,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,BELEM,PA,1501402.0,8660700.0,Atividades de apoio à gestão de saúde,100000.0,False,True,
00004548036482,,,,,,,,,,,,,,,True
00009818406478,,,,,,,,,,,,,,,True
00002059660475,,,,,,,,,,,,,,,True
00003166778411,,,,,,,,,,,,,,,True
00007510732530,,,,,,,,,,,,,,,True
00002996263421,,,,,,,,,,,,,,,True
00010183274440,,,,,,,,,,,,,,,True
00003081883490,,,,,,,,,,,,,,,True
00005476740406,,,,,,,,,,,,,,,True
00003609508418,,,,,,,,,,,,,,,True
00000852048467,,,,,,,,,,,,,,,True
00098507664415,,,,,,,,,,,,,,,True
00022282883810,,,,,,,,,,,,,,,True
00081033478415,,,,,,,,,,,,,,,True
00010533825458,,,,,,,,,,,,,,,True
00040847284468,,,,,,,,,,,,,,,True
00002417455439,,,,,,,,,,,,,,,True
00057869073415,,,,,,,,,,,,,,,True
00003616934435,,,,,,,,,,,,,,,True
00025649036810,,,,,,,,,,,,,,,True
00008626218443,,,,,,,,,,,,,,,True
00070452824435,,,,,,,,,,,,,,,True
00012894746482,,,,,,,,,,,,,,,True
00008430751475,,,,,,,,,,,,,,,True
00011332318452,,,,,,,,,,,,,,,True
00048843261487,,,,,,,,,,,,,,,True
00010106943405,,,,,,,,,,,,,,,True
00010634855417,,,,,,,,,,,,,,,True
00003987966459,,,,,,,,,,,,,,,True
00007356659409,,,,,,,,,,,,,,,True
00008083013498,,,,,,,,,,,,,,,True
00009836114408,,,,,,,,,,,,,,,True
00007244733437,,,,,,,,,,,,,,,True
00072757094491,,,,,,,,,,,,,,,True
00004231095450,,,,,,,,,,,,,,,True
00006263641401,,,,,,,,,,,,,,,True
00088768848404,,,,,,,,,,,,,,,True
00079271340434,,,,,,,,,,,,,,,True
00001176475436,,,,,,,,,,,,,,,True
00004580338472,,,,,,,,,,,,,,,True
00009422134404,,,,,,,,,,,,,,,True
00003904777459,,,,,,,,,,,,,,,True
00008264061494,,,,,,,,,,,,,,,True
00012726194435,,,,,,,,,,,,,,,True
00007147365461,,,,,,,,,,,,,,,True
00008822869435,,,,,,,,,,,,,,,True
00008149905413,,,,,,,,,,,,,,,True
00008722678492,,,,,,,,,,,,,,,True
00070339039442,,,,,,,,,,,,,,,True
00071347792465,,,,,,,,,,,,,,,True
00005822500480,,,,,,,,,,,,,,,True
00005585526413,,,,,,,,,,,,,,,True
00011161036482,,,,,,,,,,,,,,,True
00010243647476,,,,,,,,,,,,,,,True
00005385995452,,,,,,,,,,,,,,,True
00005285686474,,,,,,,,,,,,,,,True
00003028706440,,,,,,,,,,,,,,,True
00004620582476,,,,,,,,,,,,,,,True
00010955034485,,,,,,,,,,,,,,,True
00003703017490,,,,,,,,,,,,,,,True
00003595430492,,,,,,,,,,,,,,,True
00010852223498,,,,,,,,,,,,,,,True
00006731366471,,,,,,,,,,,,,,,True
00005664591404,,,,,,,,,,,,,,,True
00005495626486,,,,,,,,,,,,,,,True
00064296954415,,,,,,,,,,,,,,,True
00010553608401,,,,,,,,,,,,,,,True
00004648240448,,,,,,,,,,,,,,,True
00004543278461,,,,,,,,,,,,,,,True
00002530676429,,,,,,,,,,,,,,,True
00004102208410,,,,,,,,,,,,,,,True
00010167087428,,,,,,,,,,,,,,,True
00005263551401,,,,,,,,,,,,,,,True
00009825929499,,,,,,,,,,,,,,,True
00007085472499,,,,,,,,,,,,,,,True
00002587812461,,,,,,,,,,,,,,,True
00077524870400,,,,,,,,,,,,,,,True
00004427155448,,,,,,,,,,,,,,,True
00002998331432,,,,,,,,,,,,,,,True
00048210617400,,,,,,,,,,,,,,,True
00008083477486,,,,,,,,,,,,,,,True
00014286270491,,,,,,,,,,,,,,,True
00006806911463,,,,,,,,,,,,,,,True
00006122862401,,,,,,,,,,,,,,,True
00004158506492,,,,,,,,,,,,,,,True
00003012924426,,,,,,,,,,,,,,,True
00078219949449,,,,,,,,,,,,,,,True
00009886572442,,,,,,,,,,,,,,,True
00004089666457,,,,,,,,,,,,,,,True
00003280052408,,,,,,,,,,,,,,,True
00008532368441,,,,,,,,,,,,,,,True
00061612359434,,,,,,,,,,,,,,,True
00004058331488,,,,,,,,,,,,,,,True
00011364091496,,,,,,,,,,,,,,,True
00011743820402,,,,,,,,,,,,,,,True
00005569017461,,,,,,,,,,,,,,,True
00003014280429,,,,,,,,,,,,,,,True
00004303879460,,,,,,,,,,,,,,,True
00003413858408,,,,,,,,,,,,,,,True
00010373566409,,,,,,,,,,,,,,,True
00002948014484,,,,,,,,,,,,,,,True
00007529140493,,,,,,,,,,,,,,,True
00073231860482,,,,,,,,,,,,,,,True
00003432013485,,,,,,,,,,,,,,,True
00009703904408,,,,,,,,,,,,,,,True
00005903894402,,,,,,,,,,,,,,,True
00015592959885,,,,,,,,,,,,,,,True
00003333926474,,,,,,,,,,,,,,,True
00004929938406,,,,,,,,,,,,,,,True
00007361110428,,,,,,,,,,,,,,,True
00010386053421,,,,,,,,,,,,,,,True
00000844946460,,,,,,,,,,,,,,,True
00006947878411,,,,,,,,,,,,,,,True
00004240629411,,,,,,,,,,,,,,,True
00005230807431,,,,,,,,,,,,,,,True
00002925878482,,,,,,,,,,,,,,,True
00010188059407,,,,,,,,,,,,,,,True
00008259327422,,,,,,,,,,,,,,,True
00004102184481,,,,,,,,,,,,,,,True
00005079271418,,,,,,,,,,,,,,,True
00002315667437,,,,,,,,,,,,,,,True
00011137895497,,,,,,,,,,,,,,,True
00008719165412,,,,,,,,,,,,,,,True
00010417981481,,,,,,,,,,,,,,,True
00008299006406,,,,,,,,,,,,,,,True
00006808348421,,,,,,,,,,,,,,,True
00008326950416,,,,,,,,,,,,,,,True
00000977689441,,,,,,,,,,,,,,,True
00070580763404,,,,,,,,,,,,,,,True
00010526847425,,,,,,,,,,,,,,,True
00003963921480,,,,,,,,,,,,,,,True
00007720011465,,,,,,,,,,,,,,,True
00005301481452,,,,,,,,,,,,,,,True
00010829196404,,,,,,,,,,,,,,,True
00035609702453,,,,,,,,,,,,,,,True
00000889140464,,,,,,,,,,,,,,,True
00004840994420,,,,,,,,,,,,,,,True
00075813319549,,,,,,,,,,,,,,,True
00004768791409,,,,,,,,,,,,,,,True
00059904542449,,,,,,,,,,,,,,,True
00002650441461,,,,,,,,,,,,,,,True
00009899216461,,,,,,,,,,,,,,,True
00008673813450,,,,,,,,,,,,,,,True
00002674957492,,,,,,,,,,,,,,,True
00006211974400,,,,,,,,,,,,,,,True
00003415851494,,,,,,,,,,,,,,,True
00009222836480,,,,,,,,,,,,,,,True
00011779435495,,,,,,,,,,,,,,,True
00025273869897,,,,,,,,,,,,,,,True
00006299894431,,,,,,,,,,,,,,,True
00009861883444,,,,,,,,,,,,,,,True
00007354227455,,,,,,,,,,,,,,,True
00055016740410,,,,,,,,,,,,,,,True
00008739401480,,,,,,,,,,,,,,,True
00070150191405,,,,,,,,,,,,,,,True
00068586582549,,,,,,,,,,,,,,,True
00002820309488,,,,,,,,,,,,,,,True
00005390693450,,,,,,,,,,,,,,,True
00069507880453,,,,,,,,,,,,,,,True
00008005835400,,,,,,,,,,,,,,,True
00001835847404,,,,,,,,,,,,,,,True
00007056846440,,,,,,,,,,,,,,,True
00006470540430,,,,,,,,,,,,,,,True
00083614257487,,,,,,,,,,,,,,,True
00006690844412,,,,,,,,,,,,,,,True
00002536908461,,,,,,,,,,,,,,,True
00013489438400,,,,,,,,,,,,,,,True
00009623653433,,,,,,,,,,,,,,,True
00090728823420,,,,,,,,,,,,,,,True
00004002867420,,,,,,,,,,,,,,,True
00004453374437,,,,,,,,,,,,,,,True
00010366485830,,,,,,,,,,,,,,,True
00005767460450,,,,,,,,,,,,,,,True
00010397534426,,,,,,,,,,,,,,,True
00009483210402,,,,,,,,,,,,,,,True
00022097554415,,,,,,,,,,,,,,,True
00010548622493,,,,,,,,,,,,,,,True
00025959957825,,,,,,,,,,,,,,,True
00029818693884,,,,,,,,,,,,,,,True
00005761660490,,,,,,,,,,,,,,,True
00006625248452,,,,,,,,,,,,,,,True
00000032884478,,,,,,,,,,,,,,,True
00007984168407,,,,,,,,,,,,,,,True
00078686946453,,,,,,,,,,,,,,,True
00004742740475,,,,,,,,,,,,,,,True
00002885217499,,,,,,,,,,,,,,,True
00092313663434,,,,,,,,,,,,,,,True
00012435054432,,,,,,,,,,,,,,,True
00003858236497,,,,,,,,,,,,,,,True
00009826053406,,,,,,,,,,,,,,,True
00003240071401,,,,,,,,,,,,,,,True
39565285000143,MATERIAL DE CONSTRUCAO KR LTDA,MATERIAL DE CONSTRUCAO KR,ATIVA,2020-10-26,Sociedade Empresária Limitada,MICRO EMPRESA,PARANATAMA,PE,2610301.0,7731400.0,Aluguel de máquinas e equipamentos agrícolas sem operador,30000.0,False,False,
27593923000150,AGRA E SILVA TRANSPORTES LTDA,SILVA TRANSPORTES,ATIVA,2017-04-25,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,SANTANA DO IPANEMA,AL,2708006.0,3600602.0,Distribuição de água por caminhões,50000.0,False,True,
27905457000100,M R NOBRE WANDERLEY TRANSPORTES,M R NOBRE TRANSPORTES,INAPTA,2017-06-06,Empresário (Individual),MICRO EMPRESA,SANTANA DO IPANEMA,AL,2708006.0,3600602.0,Distribuição de água por caminhões,65000.0,False,True,
29393232000139,RONALDO CAVALCANTE CORDEIRO TRANSPORTES,,ATIVA,2018-01-09,Empresário (Individual),MICRO EMPRESA,IATI,PE,2606507.0,3600602.0,Distribuição de água por caminhões,100000.0,False,True,
48939384000139,HELANY TRANSPORTES LTDA,HELANY TRANSPORTES,ATIVA,2022-12-20,Sociedade Empresária Limitada,MICRO EMPRESA,FLORES,PE,2605608.0,3600602.0,Distribuição de água por caminhões,200000.0,False,True,
13492089000100,13.492.089 JANAINA DE ARAUJO ROCHA,,ATIVA,2011-04-05,Empresário (Individual),MICRO EMPRESA,PALMEIRA DOS INDIOS,AL,2706307.0,4930201.0,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",20000.0,True,True,
50677668000146,JOAO P P DE ANDRADE SERVICOS LTDA,,ATIVA,2023-05-15,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,TAVARES,PB,2516607.0,3600602.0,Distribuição de água por caminhões,300000.0,False,True,
00004264761409,,,,,,,,,,,,,,,True
10533603000102,A V LOPES COMERCIO E SERVICOS LTDA,COFFEEBAR,ATIVA,2008-07-30,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,RECIFE,PE,2611606.0,4665600.0,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças,150000.0,False,False,
34127874000126,RAVINE COMERCIO DE CALCADOS LTDA,CABANA DO SAPATO,ATIVA,2019-07-05,Sociedade Empresária Limitada,MICRO EMPRESA,GOIANIA,GO,5208707.0,4782201.0,Comércio varejista de calçados,150000.0,False,False,
34346979000176,AGOS B2G COMERCIAL E SERVICOS EM LICITACOES LTDA,AGOS COMERCIO E SERVICOS,ATIVA,2019-07-29,Sociedade Empresária Limitada,MICRO EMPRESA,QUATRO BARRAS,PR,4120804.0,4642702.0,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,99800.0,False,True,
44879826000148,JAGUAR SOLUCOES INTEGRADAS LTDA,JAGUAR,ATIVA,2022-01-15,Sociedade Empresária Limitada,MICRO EMPRESA,FEIRA DE SANTANA,BA,2910800.0,4782201.0,Comércio varejista de calçados,50000.0,False,True,
14984352000133,EPINET COMERCIO DE EQUIPAMENTOS DE PROTECAO LTDA,EPINET,ATIVA,2011-12-20,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,LIMEIRA,SP,3526902.0,4789099.0,Comércio varejista de outros produtos não especificados anteriormente,200000.0,False,True,
19486478000100,SUPORTE MEDICAL COMERCIO E SERVICOS DE EQUIPAMENTOS MEDICO-HOSPITALAR LTDA,SUPORTE MEDICAL,ATIVA,2014-01-07,Sociedade Empresária Limitada,DEMAIS,BRASILIA,DF,5300108.0,4645101.0,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",93700.0,False,False,
22965509000101,PESKA SPORT COMERCIO DE ARTIGOS ESPORTIVOS LTDA,,ATIVA,2015-07-31,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,CASCAVEL,PR,4104808.0,4763604.0,"Comércio varejista de artigos de caça, pesca e camping",100000.0,False,True,
44649512000159,DP TEXTIL- RS LTDA,DP TEXTIL RS,ATIVA,2021-12-21,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,PONTE PRETA,RS,4314787.0,1412602.0,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",50000.0,False,True,
18274923000105,MASTERSUL EQUIPAMENTOS DE SEGURANCA LTDA,MASTERSUL,ATIVA,2013-06-10,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,BARAO DE COTEGIPE,RS,4301701.0,4642702.0,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,50000.0,False,True,
23922567000110,GRUPO LATARO LTDA,DELICIOSO SABOR DE MINAS,ATIVA,2016-01-07,Sociedade Empresária Limitada,MICRO EMPRESA,POUSO ALEGRE,MG,3152501.0,4642702.0,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,10000.0,False,True,
14553228000113,INFRAEASY SOLUCOES LTDA,INFRAEASY TECNOLOGIA.,ATIVA,2011-10-11,Sociedade Empresária Limitada,MICRO EMPRESA,GUARULHOS,SP,3518800.0,9529199.0,Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente,100000.0,False,True,
11042902000107,INSMART COMERCIO DE EQUIPAMENTOS LTDA,,ATIVA,2009-08-10,Sociedade Empresária Limitada,MICRO EMPRESA,SAO PAULO,SP,3550308.0,4789099.0,Comércio varejista de outros produtos não especificados anteriormente,50000.0,False,False,
10271915000195,INSTITUTO TRAVESSIA,,ATIVA,2008-06-16,Associação Privada,DEMAIS,RECIFE,PE,2611606.0,8800600.0,Serviços de assistência social sem alojamento,0.0,,,
37910277000161,AMPLAMED INDUSTRIA E COMERCIO LTDA,AMPLAMED PRODUTOS HOSPITALARES,ATIVA,2020-07-30,Sociedade Empresária Limitada,DEMAIS,APARECIDA DE GOIANIA,GO,5201405.0,3250705.0,Fabricação de materiais para medicina e odontologia,1422972.0,False,False,
42542512000120,T2R COMERCIO DE ARTIGOS ESPORTIVOS E SERVICOS LTDA,,ATIVA,2021-07-01,Sociedade Empresária Limitada,MICRO EMPRESA,SAO JOSE DO RIO PRETO,SP,3549805.0,1412601.0,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",50000.0,False,True,
41665545000102,DNA MED BRASIL LTDA,,ATIVA,2021-04-22,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,SAO CARLOS,SP,3548906.0,4645101.0,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",20000.0,False,False,
28345933000130,PURAH MEDICAL & CO LTDA,PURAH MEDICAL & CO,ATIVA,2017-08-04,Sociedade Empresária Limitada,DEMAIS,CARIACICA,ES,3201308.0,4645101.0,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",2000000.0,False,False,
04890798000145,ORTOM INDUSTRIA TEXTIL LTDA,,ATIVA,2001-06-28,Sociedade Empresária Limitada,DEMAIS,PORTO FELIZ,SP,3540606.0,1412601.0,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",300000.0,False,False,
11463608000179,ERIMAR INDUSTRIA E COMERCIO DE PRODUTOS PARA SAUDE LTDA,ERIMAX,ATIVA,2010-01-13,Sociedade Empresária Limitada,DEMAIS,ASSIS CHATEAUBRIAND,PR,4102000.0,3250705.0,Fabricação de materiais para medicina e odontologia,93700.0,False,False,
11145401000156,L A DALLA PORTA JUNIOR LTDA,JUNIMED DISTRIBUIDORA,ATIVA,2009-09-14,Sociedade Empresária Limitada,DEMAIS,SANTA MARIA,RS,4316907.0,4644301.0,Comércio atacadista de medicamentos e drogas de uso humano,700000.0,False,False,
18466544000109,PROTECTOR PRODUTOS HOSPITALARES LTDA,,ATIVA,2013-07-11,Sociedade Empresária Limitada,DEMAIS,SERTAOZINHO,SP,3551702.0,1413401.0,"Confecção de roupas profissionais, exceto sob medida",50000.0,False,False,
